Range_of_Balance,Range_of_Balance,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,deposit_gbp,bonus_account_bonus_gbp,all_balance_x,all_balance_y
18-[27],7209,0.99,0.98,0.97,0.87,0.74,0.63,0.55,0.48,0.43,0.39,0.36,0.33,0.3,0.28,0.26,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,18.86,8.14,26.51,27.5
19-[28],9865,0.99,0.98,0.96,0.86,0.71,0.6,0.52,0.45,0.4,0.36,0.32,0.29,0.27,0.25,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,19.11,8.87,27.51,28.5
20-[29],7849,0.99,0.98,0.97,0.88,0.73,0.62,0.54,0.48,0.44,0.4,0.36,0.33,0.31,0.28,0.27,0.25,0.24,0.22,0.21,0.2,0.19,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,18.16,10.96,28.51,29.5
21-[30],24424,0.99,0.97,0.95,0.84,0.69,0.57,0.48,0.42,0.36,0.32,0.29,0.26,0.24,0.22,0.2,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,19.56,10.48,29.51,30.5
22-[31],8942,0.99,0.97,0.96,0.86,0.72,0.62,0.54,0.47,0.42,0.38,0.35,0.32,0.29,0.27,0.25,0.23,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,20.31,10.7,30.51,31.5
23-[32],7695,0.98,0.96,0.95,0.85,0.71,0.6,0.52,0.46,0.41,0.37,0.33,0.3,0.28,0.26,0.24,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,20.73,11.25,31.51,32.5
24-[33],7099,0.99,0.98,0.96,0.87,0.74,0.63,0.55,0.49,0.43,0.39,0.35,0.33,0.3,0.28,0.26,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,21.22,11.85,32.51,33.5
25-[34],12378,0.99,0.99,0.97,0.88,0.73,0.62,0.53,0.47,0.42,0.38,0.34,0.31,0.29,0.27,0.25,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,19.77,14.16,33.51,34.5
26-[35],23700,0.98,0.97,0.94,0.85,0.7,0.58,0.49,0.43,0.37,0.33,0.3,0.27,0.24,0.22,0.2,0.19,0.18,0.17,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,20.73,14.26,34.51,35.5
27-[36],9055,0.99,0.98,0.96,0.87,0.72,0.6,0.51,0.44,0.39,0.35,0.31,0.28,0.26,0.23,0.22,0.2,0.19,0.18,0.16,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,24.15,11.85,35.51,36.5
